"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Aug 17 21:51:17 GMT 2025","Sun Aug 17 21:51:17 GMT 2025","323","tests.customer.groups","test_HU03_PD_PUT_CustomerGroup","","","","test_TC292_actualizar_grupo_valores_null",""
"passed","Sun Aug 17 21:51:04 GMT 2025","Sun Aug 17 21:51:05 GMT 2025","170","tests.customer.groups","test_HU02_PD_POST_CustomerGroup","","","","test_TC162_crear_grupo_caracteres_especiales_codigo",""
"passed","Sun Aug 17 21:50:08 GMT 2025","Sun Aug 17 21:50:08 GMT 2025","168","tests.catalog.inventory","test_HU05_EA_POST_Inventory","","","","test_TC265_crear_inventory_con_code_y_name_longitud_maxima",""
"passed","Sun Aug 17 21:51:01 GMT 2025","Sun Aug 17 21:51:01 GMT 2025","118","tests.customer.groups","test_HU01_PD_GET_Customer_Group","","","","test_TC188_verificar_acceso_token_expirado",""
"passed","Sun Aug 17 21:50:43 GMT 2025","Sun Aug 17 21:50:44 GMT 2025","321","tests.configuration.tax_categories","test_HU22_KG_DELETE_TaxCategory","","","","test_TC78_eliminar_TaxCategory_respuesta_sin_cuerpo",""
"passed","Sun Aug 17 21:51:12 GMT 2025","Sun Aug 17 21:51:12 GMT 2025","302","tests.customer.groups","test_HU03_PD_PUT_CustomerGroup","","","","test_TC281_actualizar_grupo_nombre_vacio",""
"passed","Sun Aug 17 21:50:33 GMT 2025","Sun Aug 17 21:50:33 GMT 2025","338","tests.catalog.options","test_HU26_ES_DELETE_ProductOptions","","","","test_tc386_Verificar_eliminar_una_opcion_con_code_valido",""
"passed","Sun Aug 17 21:49:55 GMT 2025","Sun Aug 17 21:49:55 GMT 2025","147","tests.catalog.attributes","test_HU13_LQ_POST_Attributes","","","","test_TC52_Verificar_no_crear_atributo_sin_campo_code",""
"passed","Sun Aug 17 21:51:04 GMT 2025","Sun Aug 17 21:51:04 GMT 2025","143","tests.customer.groups","test_HU02_PD_POST_CustomerGroup","","","","test_TC159_crear_grupo_nombre_vacio",""
"passed","Sun Aug 17 21:51:11 GMT 2025","Sun Aug 17 21:51:11 GMT 2025","309","tests.customer.groups","test_HU03_PD_PUT_CustomerGroup","","","","test_TC277_actualizar_grupo_code_caracteres_especiales_ignorado",""
"skipped","Sun Aug 17 21:50:42 GMT 2025","Sun Aug 17 21:50:43 GMT 2025","161","tests.configuration.tax_categories","test_HU14_KG_POST_TaxCategory","","","","test_TC221_tax_category_nombre_espacio_en_blanco[\t]",""
"passed","Sun Aug 17 21:50:27 GMT 2025","Sun Aug 17 21:50:27 GMT 2025","142","tests.catalog.options","test_HU11_ES_POST_ProductOption","","","","test_TC224_Verificar_error_al_crear_option_name_con_mas_de_255_caracteres",""
"passed","Sun Aug 17 21:49:43 GMT 2025","Sun Aug 17 21:49:44 GMT 2025","164","tests.catalog.association_types","test_HU27_EN_PUT_ProductAssociationTypes","","","","test_TC374_enviar_body_con_campos_extra_no_soportados_exitoso",""
"passed","Sun Aug 17 21:49:49 GMT 2025","Sun Aug 17 21:49:49 GMT 2025","145","tests.catalog.attributes","test_HU09_LQ_GET_AttributesList","","","","test_TC41_Verificar_que_no_se_obtenga_un_atributo_code_inexistente",""
"passed","Sun Aug 17 21:50:41 GMT 2025","Sun Aug 17 21:50:41 GMT 2025","153","tests.configuration.tax_categories","test_HU14_KG_POST_TaxCategory","","","","test_TC66_validar_caracteres_especiales_en_code",""
"passed","Sun Aug 17 21:51:14 GMT 2025","Sun Aug 17 21:51:15 GMT 2025","270","tests.customer.groups","test_HU03_PD_PUT_CustomerGroup","","","","test_TC287_actualizar_grupo_content_type_incorrecto",""
"passed","Sun Aug 17 21:50:32 GMT 2025","Sun Aug 17 21:50:32 GMT 2025","387","tests.catalog.options","test_HU25_ES_PUT_ProductOption","","","","test_tc327_Verificar_que_se_puede_actualizar_opción_con_values",""
"passed","Sun Aug 17 21:51:11 GMT 2025","Sun Aug 17 21:51:12 GMT 2025","328","tests.customer.groups","test_HU03_PD_PUT_CustomerGroup","","","","test_TC278_actualizar_grupo_code_muy_largo_ignorado",""
"passed","Sun Aug 17 21:50:29 GMT 2025","Sun Aug 17 21:50:29 GMT 2025","322","tests.catalog.options","test_HU25_ES_PUT_ProductOption","","","","test_tc314_Verificar_error_al_actualizar_opción_sin_el_campo_obligatorio_nombre",""
"passed","Sun Aug 17 21:49:44 GMT 2025","Sun Aug 17 21:49:44 GMT 2025","161","tests.catalog.association_types","test_HU27_EN_PUT_ProductAssociationTypes","","","","test_TC375_agregar_traduccion_idioma_no_habilitado_en_canal",""
