"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 15 20:58:03 GMT 2025","Fri Aug 15 20:58:03 GMT 2025","215","tests.catalog.inventory","test_HU05_EA_POST_Inventory","","","","test_TC27_crear_inventory_con_todos_los_campos_validos",""
"passed","Fri Aug 15 20:58:12 GMT 2025","Fri Aug 15 20:58:12 GMT 2025","156","tests.catalog.inventory","test_HU06_EA_DELETE_Inventory","","","","test_TC347_eliminar_inventory_codigo_formato_invalido",""
"passed","Fri Aug 15 20:59:23 GMT 2025","Fri Aug 15 20:59:23 GMT 2025","367","tests.customer.groups","test_HU03_PD_PUT_CustomerGroup","","","","test_TC292_actualizar_grupo_valores_null",""
"passed","Fri Aug 15 20:57:30 GMT 2025","Fri Aug 15 20:57:30 GMT 2025","196","tests.catalog.association_types","test_HU07_EN_GET_ProductAssociationTypesList","","","","test_TC95_Buscar_code_invalido_lista_vacia",""
"passed","Fri Aug 15 20:58:00 GMT 2025","Fri Aug 15 20:58:00 GMT 2025","203","tests.catalog.inventory","test_HU04_EA_GET_InventoryList","","","","test_209_215_pagina_e_items_validas[None-0]",""
"passed","Fri Aug 15 20:59:16 GMT 2025","Fri Aug 15 20:59:16 GMT 2025","343","tests.customer.groups","test_HU03_PD_PUT_CustomerGroup","","","","test_TC277_actualizar_grupo_code_caracteres_especiales_ignorado",""
"skipped","Fri Aug 15 20:58:19 GMT 2025","Fri Aug 15 20:58:19 GMT 2025","351","tests.catalog.inventory","test_HU15_EA_PUT_Inventory","","","","test_TC73_actualizacion_formato_invalido_priority",""
"passed","Fri Aug 15 20:58:29 GMT 2025","Fri Aug 15 20:58:30 GMT 2025","409","tests.catalog.options","test_HU25_ES_PUT_ProductOption","","","","test_tc314_Verificar_error_al_actualizar_opción_sin_el_campo_obligatorio_nombre",""
"passed","Fri Aug 15 20:57:38 GMT 2025","Fri Aug 15 20:57:39 GMT 2025","429","tests.catalog.association_types","test_HU27_EN_PUT_ProductAssociationTypes","","","","test_TC366_modificar_simultaneamente_traducciones_en_US_y_es_ES_exitoso",""
"passed","Fri Aug 15 20:59:21 GMT 2025","Fri Aug 15 20:59:21 GMT 2025","361","tests.customer.groups","test_HU03_PD_PUT_CustomerGroup","","","","test_TC289_actualizar_grupo_nombre_limite_superior",""
"skipped","Fri Aug 15 20:58:44 GMT 2025","Fri Aug 15 20:58:45 GMT 2025","171","tests.configuration.tax_categories","test_HU14_KG_POST_TaxCategory","","","","test_TC221_tax_category_nombre_espacio_en_blanco[\n\n]",""
"passed","Fri Aug 15 20:58:00 GMT 2025","Fri Aug 15 20:58:00 GMT 2025","166","tests.catalog.inventory","test_HU04_EA_GET_InventoryList","","","","test_TC206_fuente_sin_autenticacion",""
"passed","Fri Aug 15 20:58:11 GMT 2025","Fri Aug 15 20:58:11 GMT 2025","149","tests.catalog.inventory","test_HU06_EA_DELETE_Inventory","","","","test_TC344_eliminar_inventory_codigo_inexistente",""
"passed","Fri Aug 15 20:58:05 GMT 2025","Fri Aug 15 20:58:05 GMT 2025","164","tests.catalog.inventory","test_HU05_EA_POST_Inventory","","","","test_TC31_crear_inventory_sin_campo_code",""
"passed","Fri Aug 15 20:59:25 GMT 2025","Fri Aug 15 20:59:26 GMT 2025","501","tests.customer.groups","test_HU16_PD_DELETE_CustomerGroup","","","","test_TC300_eliminar_mismo_grupo_dos_veces",""
"passed","Fri Aug 15 20:58:02 GMT 2025","Fri Aug 15 20:58:02 GMT 2025","165","tests.catalog.inventory","test_HU04_EA_GET_InventoryList","","","","test_210_219_pagina_e_items_invalidas[1--1]",""
"passed","Fri Aug 15 20:59:30 GMT 2025","Fri Aug 15 20:59:31 GMT 2025","821","tests.customer.groups","test_HU30_PD_E2E_CustomerGroup","","","","test_TC334_e2e_customer_group",""
"passed","Fri Aug 15 20:59:22 GMT 2025","Fri Aug 15 20:59:23 GMT 2025","345","tests.customer.groups","test_HU03_PD_PUT_CustomerGroup","","","","test_TC291_actualizar_grupo_nombre_minimo",""
"passed","Fri Aug 15 20:58:05 GMT 2025","Fri Aug 15 20:58:05 GMT 2025","164","tests.catalog.inventory","test_HU05_EA_POST_Inventory","","","","test_TC254_crear_inventory_con_name_vacio",""
"passed","Fri Aug 15 20:58:28 GMT 2025","Fri Aug 15 20:58:28 GMT 2025","146","tests.catalog.options","test_HU11_ES_POST_ProductOption","","","","test_TC228_Verificar_creacion_de_opcion_sin_autenticacion",""
